p,r,L,chunk_id,chunk_samples,seed,method,max_bond,cmi,elapsed_sec
0.110000,6,26,5,250,5003726,bmps,16,-0.03589279742217843,1103.194
0.110000,6,26,9,250,9003726,bmps,16,-0.04991896519853778,1097.307
0.110000,6,26,6,250,6003726,bmps,16,-0.02810432513796192,1101.112
0.110000,6,26,13,250,13003726,bmps,16,-0.06174168857584177,1089.133
0.110000,6,26,8,250,8003726,bmps,16,-0.03067543016789072,1100.723
0.110000,6,26,15,250,15003726,bmps,16,0.01815234207508442,1086.798
0.110000,6,26,0,250,3726,bmps,16,-0.1129897121147643,1135.416
0.110000,6,26,14,250,14003726,bmps,16,-0.07063845081367545,1093.010
0.110000,6,26,11,250,11003726,bmps,16,0.02273496701052884,1100.815
0.110000,6,26,16,250,16003726,bmps,16,-0.05929590568478562,1090.329
0.110000,6,26,12,250,12003726,bmps,16,-0.02516525748738862,1102.742
0.110000,6,26,18,250,18003726,bmps,16,-0.06167998568955838,1091.324
0.110000,6,26,4,250,4003726,bmps,16,-0.06266377597146357,1126.916
0.150000,6,26,10,250,10004126,bmps,16,-0.05367711697780504,407.527
0.110000,6,26,10,250,10003726,bmps,16,-0.01553453699942729,1124.791
0.110000,6,26,17,250,17003726,bmps,16,-0.01700887834711642,1110.117
0.150000,5,22,17,250,17004026,bmps,16,-0.04898482301914527,438.209
0.110000,6,26,19,250,19003726,bmps,16,-0.05229117888024061,1107.766
0.150000,5,22,19,250,19004026,bmps,16,-0.03000034513456802,436.959
0.150000,5,22,4,250,4004026,bmps,16,-0.04237696692547235,487.163
0.150000,5,22,18,250,18004026,bmps,16,-0.02068456555222201,441.733
0.150000,5,22,3,250,3004026,bmps,16,-0.01598429820481357,492.732
0.150000,5,22,14,250,14004026,bmps,16,-0.02168245271996733,454.205
0.150000,5,22,6,250,6004026,bmps,16,-0.03029641701119579,481.272
0.150000,5,22,16,250,16004026,bmps,16,-0.02108090501318827,454.753
0.150000,5,22,9,250,9004026,bmps,16,-0.02442175754478143,469.842
0.150000,5,22,15,250,15004026,bmps,16,-0.03562618328177638,462.952
0.150000,5,22,2,250,2004026,bmps,16,-0.01450213076790544,504.349
0.150000,5,22,7,250,7004026,bmps,16,-0.02324983427370535,486.736
0.150000,5,22,1,250,1004026,bmps,16,-0.01643464308068587,512.111
0.150000,5,22,5,250,5004026,bmps,16,-0.02073626045318127,498.340
0.150000,5,22,12,250,12004026,bmps,16,-0.02317876080486235,470.215
0.150000,5,22,0,250,4026,bmps,16,-0.01030090708211094,518.100
0.150000,5,22,8,250,8004026,bmps,16,-0.02941531843168684,482.852
0.150000,5,22,10,250,10004026,bmps,16,-0.01413441213508168,480.488
0.150000,5,22,11,250,11004026,bmps,16,-0.02890440991438118,473.660
0.150000,5,22,13,250,13004026,bmps,16,-0.02296881378688522,472.915
0.150000,6,26,15,250,15004126,bmps,16,-0.04223995468346595,389.208
0.150000,6,26,1,250,1004126,bmps,16,-0.04071694946429977,461.387
0.150000,6,26,8,250,8004126,bmps,16,-0.04534887838539418,451.401
0.150000,6,26,0,250,4126,bmps,16,-0.06776551479109878,471.877
0.150000,6,26,12,250,12004126,bmps,16,-0.04760722193716845,444.740
0.150000,6,26,7,250,7004126,bmps,16,-0.03975974871441253,461.312
0.150000,6,26,18,250,18004126,bmps,16,-0.04012328303350318,392.851
0.150000,6,26,9,250,9004126,bmps,16,-0.0617442629989572,456.585
0.150000,6,26,14,250,14004126,bmps,16,-0.05226635704115165,421.787
0.150000,6,26,11,250,11004126,bmps,16,-0.04246050262568048,452.775
0.150000,6,26,17,250,17004126,bmps,16,-0.03056038546578946,398.701
0.150000,6,26,16,250,16004126,bmps,16,-0.05557588177269247,400.974
0.150000,6,26,19,250,19004126,bmps,16,-0.06107884352429687,387.117
0.150000,6,26,4,250,4004126,bmps,16,-0.05784532256124578,470.173
0.150000,6,26,3,250,3004126,bmps,16,-0.02129114296287355,472.302
0.150000,6,26,5,250,5004126,bmps,16,-0.05775976755380208,469.995
0.150000,6,26,2,250,2004126,bmps,16,-0.06262039250031347,480.283
0.150000,6,26,13,250,13004126,bmps,16,-0.05877766722718815,446.630
0.150000,6,26,6,250,6004126,bmps,16,-0.06070427333993683,470.495
