r,p,cmi
1,0.116162,0.018621956604281863
1,0.121212,0.012792502461118646
1,0.126263,0.016216504021537268
1,0.131313,0.02708682102422244
1,0.136364,0.010704165117894885
1,0.141414,0.016029848997803343
1,0.146465,0.012808414135860952
1,0.151515,0.00967143550544978
1,0.156566,0.01382605123098945
1,0.161616,0.008344831663959069
1,0.166667,0.00906872296706965
1,0.171717,0.007901537279366608
1,0.176768,0.003143377724993364
1,0.181818,-0.001934799398793409
1,0.186869,0.0007668858551300986
1,0.191919,0.004403107076435351
1,0.196970,0.0005767059208195384
1,0.202020,-0.0007966682982720705
1,0.207071,-0.0008956256827109961
1,0.212121,0.0021488552062920016
1,0.217172,0.0007178391383572879
1,0.222222,0.00075533010189341
1,0.227273,0.0009089834640507242
1,0.232323,0.0004885919219310182
1,0.237374,-0.0004146158217680416
1,0.242424,0.00029927724052088676
1,0.247475,-0.00012806723162831445
1,0.252525,0.0003601599916730791
1,0.257576,-0.00032087868801042416
1,0.262626,-0.00011524062349822018
1,0.267677,0.00013050308749430073
1,0.272727,6.143934190554034e-05
1,0.277778,-0.00016010762812133095
1,0.282828,-3.1981236971276414e-05
1,0.287879,-0.00016380862615082492
1,0.292929,-3.319012607828853e-06
1,0.297980,6.0682621817782946e-05
1,0.303030,-4.325212234572007e-05
1,0.308081,0.00010650427678523045
1,0.313131,-1.1598481470215916e-05
1,0.318182,3.5757461779894586e-05
1,0.323232,1.4396732680566516e-05
1,0.328283,1.584171104432386e-05
1,0.333333,-8.261251328271157e-06
1,0.338384,3.974940142086325e-06
1,0.343434,-1.108534680342288e-05
1,0.348485,-9.751530332515301e-06
1,0.353535,1.0717966730311445e-07
1,0.358586,2.634269870792849e-06
1,0.363636,-4.119596786843261e-06
1,0.368687,-3.378220344735894e-06
1,0.373737,1.07552614942108e-06
1,0.378788,1.1165212122463685e-06
1,0.383838,-7.926354865972485e-07
1,0.388889,-3.9507318384224277e-07
1,0.393939,5.689922074765263e-07
1,0.398990,-2.3733288685434672e-08
1,0.404040,-1.0030910550895555e-07
1,0.409091,2.815209295938814e-07
1,0.414141,1.5599213730865812e-07
1,0.419192,-1.3631525195734185e-08
1,0.424242,-1.1715577773685482e-08
1,0.429293,-1.1628755391512868e-08
1,0.434343,-3.1294602429454697e-09
1,0.439394,-5.636331703584574e-09
1,0.444444,-1.3998358703304347e-09
1,0.449495,-3.4594886599847994e-10
1,0.454545,-7.685152390024541e-10
1,0.459596,8.769594828095251e-11
1,0.464646,-5.037045269773444e-11
1,0.469697,3.173076734697133e-11
1,0.474747,4.469303149789994e-12
1,0.479798,1.1672440791699045e-13
1,0.484848,7.385381195490481e-14
1,0.489899,-2.55440113505756e-15
1,0.494949,-7.212008767965017e-16
2,0.000000,0.0
2,0.005051,0.0013561785167728717
2,0.010101,7.818591366945071e-06
2,0.015152,0.00105398310400866
2,0.020202,0.0156298969132136
2,0.025253,0.009475988168071978
2,0.030303,0.011445083338434052
2,0.035354,0.018336379175240235
2,0.040404,0.02763430545462344
2,0.045455,0.03464874080248473
2,0.050505,0.03491251603054371
2,0.055556,0.04402393105671469
2,0.060606,0.0447141543179817
2,0.065657,0.029272475835085156
2,0.070707,0.08914970064672222
2,0.075758,0.06326770855591099
2,0.080808,0.04737861623337776
2,0.085859,0.0336133317564783
2,0.090909,0.028491450782352407
2,0.095960,0.036981462640263495
2,0.101010,0.03590115657164579
2,0.106061,0.037336184182258404
2,0.111111,-0.0005745127487504646
2,0.116162,0.01979631742011285
2,0.121212,0.0156612746391638
2,0.126263,0.010442709271723409
2,0.131313,0.008627969144649285
2,0.136364,0.0069947621040815445
2,0.141414,-0.0005714954746749648
2,0.146465,0.006036586163275217
2,0.151515,0.005007516592021325
2,0.156566,0.002941951720110673
2,0.161616,0.0050916057221762475
2,0.166667,-0.0005777150161233564
2,0.171717,-0.00032775520514220346
2,0.176768,4.134461465528005e-05
2,0.181818,0.0004945239396433507
2,0.186869,0.000872337822807836
2,0.191919,0.0002912441317845094
2,0.196970,-0.0001259306782553864
2,0.202020,0.0012317557320248725
2,0.207071,-0.00026060899462505203
2,0.212121,0.0006553472098944084
2,0.217172,-0.00015958541739822607
2,0.222222,0.00019995323923913588
2,0.227273,2.875200211947515e-05
2,0.232323,-0.0002686005791625945
2,0.237374,0.00026851049899866554
2,0.242424,2.319712209997249e-05
2,0.247475,2.708775463584345e-05
2,0.252525,6.500892685007642e-05
2,0.257576,-0.00016441801344574714
